timestamp,block_height,block_time,difficulty,hash_rate,transactions_per_block,mining_pool_concentration,orphan_blocks,network_latency,node_count,is_51_attack,hash_rate_skew,block_reorg_depth,attack_detected,transaction_volume,gas_price,contract_creations,failed_transactions,unique_addresses,avg_transaction_value,miner_rewards,uncle_blocks,network_hash_rate,anomaly_type,anomaly_confidence,is_anomaly
2020-01-01 00:00:00,1,14.741785382528082,5184207228486.038,189809765.48376605,87,0.1079866837652988,0,0.1105683650864127,1497.0521732655886,0.0,0.0246201027681591,0,0,153710.26532301685,16.341977657254557,12,2,3610.4350859818906,340.6815752260667,1.8006918861471417,2,67509775607.98598,normal,0.0,0
2020-01-01 01:00:00,2,13.154339247072038,5210640471179.251,280923340.51858586,90,0.3513307073199906,1,2.241577198318183,1348.7789990177828,0.0,-0.0693042951690167,0,0,1651.5718646619027,10.563289113863377,18,2,4953.711200471896,746.6191359944621,1.557329165518368,0,23112469953.000828,normal,0.0,0
2020-01-01 02:00:00,3,15.11922134525173,5617505845683.316,365859306.1652208,88,0.0842606396593276,0,3.4299473452983467,1177.1104829311173,0.0,-0.0462609408563979,0,0,2048.5626225021056,50.5861871072896,17,2,4885.880187778032,3044.4452468734144,2.25121011460578,0,61057568427.16501,normal,0.0,0
2020-01-01 03:00:00,4,17.307574641020064,5337264357222.634,1387506780.572626,85,0.3701921478640116,0,0.6402819311872658,1581.6050817626276,0.0,-0.0254900196648574,0,0,70109.92427684189,42.415723154551,19,1,4175.462516973822,3256.3893824788456,1.9604401351402296,1,77235066683.2096,normal,0.0,0
2020-01-01 04:00:00,5,12.91461656319166,5284305089194.554,151646242.31851864,91,0.4866749431512049,0,0.9654252932336044,1710.778828945549,0.0,0.0985663755335348,0,0,19366.97752487943,13.207818006850022,10,2,5029.961625992668,8868.683548739533,2.2233750132275003,0,126718602632.705,normal,0.0,0
2020-01-01 05:00:00,6,12.91465760762705,6036307134946.18,339364378.8068407,87,0.166003593157925,0,0.4404870656012061,1376.2936206711706,0.0,-0.0225436876725339,0,0,8863.140438485801,8.902748235700619,21,2,5060.356760556327,2048.9117305643545,2.0172714512468723,0,202247753249.72623,normal,0.0,0
2020-01-01 06:00:00,7,17.448032038768478,6052602400797.549,1258277423.3458686,74,0.3430792728106474,0,2.0066747797823625,1423.0688107358808,0.0,0.1426953115627674,0,0,167922.15165576927,7.876205257819441,9,0,4779.886620623145,14033.613645575662,2.143556094416248,0,32505339530.460785,normal,0.0,0
2020-01-01 07:00:00,8,15.418586822882272,6740213504623.909,359463257.5186453,91,0.5171282481265398,0,2.1824485102100524,1662.5310578870558,0.0,-0.0975140720844966,0,0,32045.715260056983,6.227575986247964,22,0,3436.5328076762244,14440.14216522122,1.7914105264441191,0,141523071489.87708,normal,0.0,0
2020-01-01 08:00:00,9,12.32631403516262,5540784212548.468,768857073.3886046,79,0.0547920609497154,0,0.1419951120884854,1709.6816547938763,0.0,0.0794463167813729,0,0,24462.94429378345,15.729292506953136,16,2,4426.238564363888,1208.899424965671,2.352081201447034,0,60504609880.941,normal,0.0,0
2020-01-01 09:00:00,10,14.856400108964912,5075893509459.13,421975560.6080137,99,0.1723403822267873,0,2.264573841337046,1408.4118177696175,0.0,0.0213791265836518,0,0,104784.09577809616,32.69292014254161,17,1,5560.321575363299,10.883610000337177,1.6472896835711637,0,68397629921.07324,normal,0.0,0
